Sno.,Model Name,Price,RAM,ROM,Battery Capacity,Camera,URL,Features
78,I Kall K27 New,669,32 MB RAM,64 MB ROM,800 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/kall-k27-new/p/itmfe2xwhwmcrayf?pid=MOBFE26VGXQFXQS6&lid=LSTMOBFE26VGXQFXQS6M6VITT&marketplace=FLIPKART&srno=b_4_78&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBFE26VGXQFXQS6.SEARCH&ssid=kxvmlktf6o0000001605235583758,32 MB RAM | 64 MB ROM 4.57 cm (1.8 inch) Display 0.3MP Rear Camera 800 mAh Battery 1 Year Manufacturer warranty
79,I Kall K23,669,32 MB RAM,64 MB ROM,800 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/i-kall-k23/p/itmfh9z8rgkxqp2y?pid=MOBFH9K9YWY7EVVZ&lid=LSTMOBFH9K9YWY7EVVZBPP5OA&marketplace=FLIPKART&srno=b_4_79&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBFH9K9YWY7EVVZ.SEARCH&ssid=kxvmlktf6o0000001605235583758,32 MB RAM | 64 MB ROM 4.57 cm (1.8 inch) Display 0.3MP Rear Camera 800 mAh Battery 15 Month Manufacturer Warranty
80,I Kall K34 New,669,32 MB RAM,64 MB ROM,800 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/kall-k34-new/p/itmfgffr9ye2jv2z?pid=MOBFGYBZGSHM5A65&lid=LSTMOBFGYBZGSHM5A65X2N0QY&marketplace=FLIPKART&srno=b_4_80&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBFGYBZGSHM5A65.SEARCH&ssid=kxvmlktf6o0000001605235583758,32 MB RAM | 64 MB ROM | Expandable Upto 8 GB 4.57 cm (1.8 inch) QVGA Display 0.3MP Rear Camera 800 mAh Battery 1 Year Manufacture Warranty
81,I Kall K 15,669,64 MB RAM,64 MB ROM,800 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/kall-k-15/p/itm8b436bb86a1ae?pid=MOBFHFYXDGCCFFYA&lid=LSTMOBFHFYXDGCCFFYARH16RR&marketplace=FLIPKART&srno=b_4_81&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBFHFYXDGCCFFYA.SEARCH&ssid=kxvmlktf6o0000001605235583758,64 MB RAM | 64 MB ROM 4.57 cm (1.8 inch) Display 0.3MP Rear Camera 800 mAh Battery 1 Year manufacturing warranty for mobile and 6 months for accessories
82,I Kall K 15,669,64 MB RAM,64 MB ROM,800 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/kall-k-15/p/itm8b436bb86a1ae?pid=MOBFHFF35WWSRQ5N&lid=LSTMOBFHFF35WWSRQ5NQMRRGO&marketplace=FLIPKART&srno=b_4_82&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBFHFF35WWSRQ5N.SEARCH&ssid=kxvmlktf6o0000001605235583758,64 MB RAM | 64 MB ROM 4.57 cm (1.8 inch) Display 0.3MP Rear Camera 800 mAh Battery 1 Year manufacturing warranty for mobile and 6 months for accessories
83,I Kall K3310,669,32 MB RAM,64 MB ROM,800 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/i-kall-k3310/p/itmevt8krrtzu2yx?pid=MOBEUBTGMZPYWVHD&lid=LSTMOBEUBTGMZPYWVHDXCPF58&marketplace=FLIPKART&srno=b_4_83&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBEUBTGMZPYWVHD.SEARCH&ssid=kxvmlktf6o0000001605235583758,32 MB RAM | 64 MB ROM | Expandable Upto 8 GB 4.57 cm (1.8 inch) Display 0.3MP Rear Camera 800 mAh Battery 15 Month  Manufacturer Warranty
84,I Kall K3310,669,32 MB RAM,64 MB ROM,800 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/i-kall-k3310/p/itmevt8krrtzu2yx?pid=MOBEUGJBPMBWJCXX&lid=LSTMOBEUGJBPMBWJCXXVXJ2ZT&marketplace=FLIPKART&srno=b_4_84&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBEUGJBPMBWJCXX.SEARCH&ssid=kxvmlktf6o0000001605235583758,32 MB RAM | 64 MB ROM 4.57 cm (1.8 inch) Display 0.3MP Rear Camera 800 mAh Battery 15 Month  Manufacturer Warranty
85,Blackzone B-312 Gold,669,10 MB RAM,10 MB ROM,1000 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/blackzone-b-312-gold/p/itm2706d1c2de250?pid=MOBFUMT4WURYFR2M&lid=LSTMOBFUMT4WURYFR2MAPIXB2&marketplace=FLIPKART&srno=b_4_85&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBFUMT4WURYFR2M.SEARCH&ssid=kxvmlktf6o0000001605235583758,10 MB RAM | 10 MB ROM | Expandable Upto 32 GB 4.57 cm (1.8 inch) Display 0.3MP Rear Camera 1000 mAh Battery 12 Months Warranty
86,I Kall K44 NEW,669,32 MB RAM,64 MB ROM,800 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/kall-k44-new/p/itm093ef7d888431?pid=MOBFGY7WNYFYEXJD&lid=LSTMOBFGY7WNYFYEXJDC4CCMF&marketplace=FLIPKART&srno=b_4_86&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBFGY7WNYFYEXJD.SEARCH&ssid=kxvmlktf6o0000001605235583758,32 MB RAM | 64 MB ROM | Expandable Upto 8 GB 4.57 cm (1.8 inch) QVGA Display 0.3MP Rear Camera 800 mAh Battery 12 Months
87,I Kall K27 new mobile,669,32 MB RAM,64 MB ROM,800 mAh Battery,0.3MP Rear Camera,https://www.flipkart.com/kall-k27-new-mobile/p/itme2be5405ef580?pid=MOBFDX9DKRF5XU9M&lid=LSTMOBFDX9DKRF5XU9MTR8VGT&marketplace=FLIPKART&srno=b_4_87&otracker=browse&fm=organic&iid=519d62f7-9e5b-4c72-a700-107e04bf4bc2.MOBFDX9DKRF5XU9M.SEARCH&ssid=kxvmlktf6o0000001605235583758,32 MB RAM | 64 MB ROM 4.57 cm (1.8 inch) Display 0.3MP Rear Camera 800 mAh Battery 1 Year Manufacturer warranty
